,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,0.0,0.569524347782135,0.3109115660190582,-0.5308483242988586,1.378897786140442,-0.5162192583084106,0.1573425531387329,-1.0499694347381592,0.227626234292984,1.5547947883605957,-1.1582475900650024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018493376672267914,0.284414678812027,-0.2902213931083679,-0.4008864760398865,-0.777069628238678,0.15203900635242462,-1.8816351890563965,-0.3429849445819855,-0.07294195145368576,0.13231313228607178,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1776212602853775,-0.18066170811653137,-0.27829235792160034,-0.008405794389545918,-0.3157190680503845,0.039482731372117996,-0.590661883354187,-0.23794879019260406,0.12321120500564575,0.029946697875857353,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5465570092201233,-0.2070826292037964,0.3825730085372925,-1.1393442153930664,0.2947481870651245,0.3410389721393585,0.24078673124313354,0.4946379065513611,-0.2781323790550232,0.09224534779787064,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6477764248847961,0.33697471022605896,0.2866879403591156,0.7058623433113098,0.5907228589057922,-0.13671405613422394,0.9417851567268372,0.3938315808773041,-0.5020323991775513,-0.08819297701120377,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.47362273931503296,-0.392887681722641,0.49264609813690186,-0.4991670250892639,0.3627360165119171,-0.24723152816295624,0.3790668547153473,0.13769106566905975,-0.3212064504623413,-0.18501096963882446,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08820473402738571,0.20942457020282745,-0.28019246459007263,0.22024518251419067,-0.1366214156150818,-0.21262162923812866,-0.09012960642576218,-0.31033560633659363,-0.04635760933160782,-0.04822106659412384,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10624883323907852,-0.12642136216163635,0.5831232666969299,-0.019075196236371994,0.620131254196167,-0.10522747784852982,0.44168204069137573,0.7526149153709412,-0.6188852787017822,0.09780609607696533,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.050999559462070465,0.30774161219596863,-0.11608082801103592,0.08983809500932693,-0.25678908824920654,0.0969790369272232,-0.42391300201416016,-0.25024762749671936,-0.0902346670627594,-0.24995554983615875,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8552602529525757,0.6682248115539551,0.18435309827327728,1.1887160539627075,0.5242757797241211,0.26506173610687256,0.9475807547569275,0.1478639394044876,-0.8106536269187927,0.11150285601615906,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008426448330283165,-0.011995910666882992,0.3302960991859436,0.28788813948631287,0.4036663770675659,0.44845467805862427,0.6620216965675354,0.32090988755226135,-0.5936343669891357,-0.032813817262649536,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5138395428657532
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27372947335243225
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4359791576862335
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6777321100234985
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33836475014686584
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028661347460001707
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6123349070549011
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5436900854110718
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21187935769557953
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010809425264596939
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
