,0,1,2,3,4,5,6,7,8,9
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,2.706015e-35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,5.413263e-08,1.0,0.0,9.310089e-29,0.0
12,0.0,0.0,0.0,0.0,0.0,0.9992538,0.0007462167,5.7749794e-28,2.3355734e-13,0.0
13,0.0,0.0,0.0,0.0,0.0,1.0950348e-12,0.0,0.71943575,0.28056425,0.0
14,0.0,0.0,0.0,0.0,0.0,4.357527e-15,1.0,0.0,2.1049e-41,0.0
15,0.0,0.0,0.0,0.0,0.0,7.733923e-09,1.8475944e-38,0.021586725,0.9784132,0.0
16,0.0,0.0,0.0,0.0,0.0,0.9996504,1.4076747e-15,4.650427e-13,0.00034953532,0.0
17,0.0,0.0,0.0,0.0,0.0,3.0021918e-22,0.0,0.99992764,7.239746e-05,0.0
18,0.0,0.0,0.0,0.0,0.0,1.7953407e-18,0.0,0.99795246,0.0020475453,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0001521314,1.0850435e-28,4.6498404e-05,0.99980146,0.0
20,0.0,0.0,0.0,0.0,0.0,0.9998118,3.1074539e-15,1.699965e-13,0.00018814793,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
